"X","movie","distributor","gross","percent_change","theaters","per_theater","total_gross","days","date"
"7","The Woman in Black 2: Angel…","Relativity",7746085,NA,2602,2977,7746085,1,2015-01-02
"17","The Woman in Black 2: Angel…","Relativity",4929668,-36,2602,1895,12675753,2,2015-01-03
"22","The Woman in Black 2: Angel…","Relativity",2351662,-52,2602,904,15027415,3,2015-01-04
"23","The Woman in Black 2: Angel…","Relativity",778133,-67,2602,299,15805548,4,2015-01-05
"24","The Woman in Black 2: Angel…","Relativity",722953,-7,2602,278,16528501,5,2015-01-06
"25","The Woman in Black 2: Angel…","Relativity",532191,-26,2602,205,17060692,6,2015-01-07
"26","The Woman in Black 2: Angel…","Relativity",448413,-16,2602,172,17509105,7,2015-01-08
"27","Taken 3","20th Century Fox",14880032,NA,3594,4140,14880032,1,2015-01-09
"28","The Woman in Black 2: Angel…","Relativity",1509807,237,2602,580,19018912,8,2015-01-09
"29","Taken 3","20th Century Fox",15615092,5,3594,4345,30495124,2,2015-01-10
"30","The Woman in Black 2: Angel…","Relativity",2199333,46,2602,845,21218245,9,2015-01-10
"31","Taken 3","20th Century Fox",8706533,-44,3594,2423,39201657,3,2015-01-11
"32","The Woman in Black 2: Angel…","Relativity",939320,-57,2602,361,22157565,10,2015-01-11
"33","Taken 3","20th Century Fox",2418409,-72,3594,673,41620066,4,2015-01-12
"34","Taken 3","20th Century Fox",3292457,36,3594,916,44912523,5,2015-01-13
"35","Taken 3","20th Century Fox",2130294,-35,3594,593,47042817,6,2015-01-14
"36","Taken 3","20th Century Fox",1744100,-18,3594,485,48786917,7,2015-01-15
"37","The Wedding Ringer","Sony Pictures",6989187,NA,3003,2327,6989187,1,2015-01-16
"38","Paddington","Weinstein Co.",4654579,NA,3303,1409,4654579,1,2015-01-16
"39","Taken 3","20th Century Fox",4271184,145,3594,1188,53058101,8,2015-01-16
"40","Blackhat","Universal",1385015,NA,2567,540,1385015,1,2015-01-16
"41","Spare Parts","Lionsgate",393689,NA,440,895,393689,1,2015-01-16
"43","The Wedding Ringer","Sony Pictures",8423151,21,3003,2805,15412338,2,2015-01-17
"44","Paddington","Weinstein Co.",8366953,80,3303,2533,13021532,2,2015-01-17
"45","Taken 3","20th Century Fox",6617924,55,3594,1841,59676025,9,2015-01-17
"46","Blackhat","Universal",1604285,16,2567,625,2989300,2,2015-01-17
"47","Spare Parts","Lionsgate",511675,30,440,1163,905364,2,2015-01-17
"49","Paddington","Weinstein Co.",5945144,-29,3303,1800,18966676,3,2015-01-18
"50","The Wedding Ringer","Sony Pictures",5236968,-38,3003,1744,20649306,3,2015-01-18
"51","Taken 3","20th Century Fox",3826710,-42,3594,1065,63502735,10,2015-01-18
"52","Blackhat","Universal",912515,-43,2567,355,3901815,3,2015-01-18
"53","Spare Parts","Lionsgate",430404,-16,440,978,1335768,3,2015-01-18
"55","Paddington","Weinstein Co.",6527463,10,3303,1976,25494139,4,2015-01-19
"56","The Wedding Ringer","Sony Pictures",3392846,-35,3003,1130,24042152,4,2015-01-19
"57","Blackhat","Universal",589195,-35,2567,230,4491010,4,2015-01-19
"58","Spare Parts","Lionsgate",274946,-36,440,625,1610714,4,2015-01-19
"60","The Wedding Ringer","Sony Pictures",1706165,-50,3003,568,25748317,5,2015-01-20
"61","Paddington","Weinstein Co.",1006045,-85,3303,305,26500184,5,2015-01-20
"62","Blackhat","Universal",385010,-35,2567,150,4876020,5,2015-01-20
"63","Spare Parts","Lionsgate",81320,-70,440,185,1692034,5,2015-01-20
"65","The Wedding Ringer","Sony Pictures",1153002,-32,3003,384,26901319,6,2015-01-21
"66","Paddington","Weinstein Co.",567841,-44,3303,172,27068025,6,2015-01-21
"67","Blackhat","Universal",270760,-30,2567,105,5146780,6,2015-01-21
"68","Spare Parts","Lionsgate",54797,-33,440,125,1746831,6,2015-01-21
"69","The Wedding Ringer","Sony Pictures",1175181,2,3003,391,28076500,7,2015-01-22
"70","Paddington","Weinstein Co.",603405,6,3303,183,27671430,7,2015-01-22
"71","Blackhat","Universal",282370,4,2567,110,5429150,7,2015-01-22
"72","Spare Parts","Lionsgate",60220,10,440,137,1807051,7,2015-01-22
"73","The Boy Next Door","Universal",5724990,NA,2602,2200,5724990,1,2015-01-23
"74","The Wedding Ringer","Sony Pictures",3285287,180,3003,1094,31361787,8,2015-01-23
"75","Paddington","Weinstein Co.",2603575,331,3355,776,30275005,8,2015-01-23
"76","Mortdecai","Lionsgate",1488897,NA,2648,562,1488897,1,2015-01-23
"77","Strange Magic","Walt Disney",1305069,NA,3020,432,1305069,1,2015-01-23
"78","Blackhat","Universal",473845,68,2568,185,5902995,8,2015-01-23
"79","Cake","Cinelou Releasing",266312,NA,482,553,266312,1,2015-01-23
"80","Spare Parts","Lionsgate",195076,224,424,460,2002127,8,2015-01-23
"81","Black Sea","Focus Features",11976,NA,5,2395,11976,1,2015-01-23
"83","Paddington","Weinstein Co.",5927838,128,3355,1767,36202843,9,2015-01-24
"84","The Boy Next Door","Universal",5827250,2,2602,2240,11552240,2,2015-01-24
"85","The Wedding Ringer","Sony Pictures",5194526,58,3003,1730,36556313,9,2015-01-24
"86","Strange Magic","Walt Disney",2588431,98,3020,857,3893500,2,2015-01-24
"87","Mortdecai","Lionsgate",1739411,17,2648,657,3228308,2,2015-01-24
"88","Blackhat","Universal",744820,57,2568,290,6647815,9,2015-01-24
"89","Cake","Cinelou Releasing",396607,49,482,823,662919,2,2015-01-24
"90","Spare Parts","Lionsgate",358984,84,424,847,2361111,9,2015-01-24
"91","Black Sea","Focus Features",14416,20,5,2883,26392,2,2015-01-24
"92","Paddington","Weinstein Co.",3734874,-37,3355,1113,39937717,10,2015-01-25
"93","The Boy Next Door","Universal",3357865,-42,2602,1290,14910105,3,2015-01-25
"94","The Wedding Ringer","Sony Pictures",2829568,-46,3003,942,39385881,10,2015-01-25
"95","Strange Magic","Walt Disney",1610941,-38,3020,533,5504441,3,2015-01-25
"96","Mortdecai","Lionsgate",972278,-44,2648,367,4200586,3,2015-01-25
"97","Blackhat","Universal",449310,-40,2568,175,7097125,10,2015-01-25
"98","Spare Parts","Lionsgate",253962,-29,424,599,2615073,10,2015-01-25
"99","Cake","Cinelou Releasing",253260,-36,482,525,916179,3,2015-01-25
"100","Black Sea","Focus Features",11283,-22,5,2257,37675,3,2015-01-25
"101","The Boy Next Door","Universal",820285,-76,2602,315,15730390,4,2015-01-26
"102","Mortdecai","Lionsgate",273863,-72,2648,103,4474449,4,2015-01-26
"103","Strange Magic","Walt Disney",221532,-86,3020,73,5725973,4,2015-01-26
"104","Cake","Cinelou Releasing",88916,-65,482,184,1005095,4,2015-01-26
"105","Black Sea","Focus Features",2244,-80,5,449,39919,4,2015-01-26
"106","The Boy Next Door","Universal",1224160,49,2602,470,16954550,5,2015-01-27
"107","Mortdecai","Lionsgate",404138,48,2648,153,4878587,5,2015-01-27
"108","Strange Magic","Walt Disney",304297,37,3020,101,6030270,5,2015-01-27
"109","Cake","Cinelou Releasing",124372,40,482,258,1129467,5,2015-01-27
"110","Black Sea","Focus Features",4464,99,5,893,44383,5,2015-01-27
"111","The Boy Next Door","Universal",844410,-31,2602,325,17798960,6,2015-01-28
"112","Mortdecai","Lionsgate",281061,-30,2648,106,5159648,6,2015-01-28
"113","Strange Magic","Walt Disney",214228,-30,3020,71,6244498,6,2015-01-28
"114","Cake","Cinelou Releasing",100048,-20,482,208,1229515,6,2015-01-28
"115","Black Sea","Focus Features",3528,-21,5,706,47911,6,2015-01-28
"116","The Boy Next Door","Universal",792375,-6,2602,305,18591335,7,2015-01-29
"117","Mortdecai","Lionsgate",259617,-8,2648,98,5419265,7,2015-01-29
"118","Strange Magic","Walt Disney",213622,NA,3020,71,6458120,7,2015-01-29
"119","Cake","Cinelou Releasing",90515,-10,482,188,1320030,7,2015-01-29
"120","Black Sea","Focus Features",4014,14,5,803,51925,7,2015-01-29
"121","Project Almanac","Paramount Pictures",3171265,NA,2893,1096,3171265,1,2015-01-30
"122","Black or White","Relativity",2250667,NA,1823,1235,2250667,1,2015-01-30
"123","The Boy Next Door","Universal",2132250,169,2615,815,20723585,8,2015-01-30
"124","The Loft","Open Road",1179138,NA,1841,640,1179138,1,2015-01-30
"125","Strange Magic","Walt Disney",771046,261,3020,255,7229166,8,2015-01-30
"127","Mortdecai","Lionsgate",476063,83,2648,180,5895328,8,2015-01-30
"128","Black Sea","Focus Features",162700,3953,313,520,214625,8,2015-01-30
"129","Cake","Cinelou Releasing",92872,3,373,249,1412902,8,2015-01-30
"132","Project Almanac","Paramount Pictures",3912897,23,2893,1353,7084162,2,2015-01-31
"133","Black or White","Relativity",2976383,32,1823,1633,5227050,2,2015-01-31
"134","The Boy Next Door","Universal",2955010,39,2615,1130,23678595,9,2015-01-31
"135","Strange Magic","Walt Disney",1828539,137,3020,605,9057705,9,2015-01-31
"136","The Loft","Open Road",1214512,3,1841,660,2393650,2,2015-01-31
"137","Mortdecai","Lionsgate",709503,49,2648,268,6604831,9,2015-01-31
"139","Black Sea","Focus Features",216538,33,313,692,431163,9,2015-01-31
"140","Cake","Cinelou Releasing",142121,53,373,381,1555023,9,2015-01-31
"142","Project Almanac","Paramount Pictures",1226090,-69,2893,424,8310252,3,2015-02-01
"143","The Boy Next Door","Universal",993785,-66,2615,380,24672380,10,2015-02-01
"144","Black or White","Relativity",986312,-67,1823,541,6213362,3,2015-02-01
"145","Strange Magic","Walt Disney",762079,-58,3020,252,9819784,10,2015-02-01
"146","The Loft","Open Road",353692,-71,1841,192,2747342,3,2015-02-01
"147","Mortdecai","Lionsgate",253702,-64,2648,96,6858533,10,2015-02-01
"149","Black Sea","Focus Features",77634,-64,313,248,508797,10,2015-02-01
"150","Cake","Cinelou Releasing",65895,-54,373,177,1620918,10,2015-02-01
"152","Project Almanac","Paramount Pictures",584909,-52,2893,202,8895161,4,2015-02-02
"153","Black or White","Relativity",517822,-47,1823,284,6731184,4,2015-02-02
"154","The Loft","Open Road",249979,-29,1841,136,2997321,4,2015-02-02
"158","Black or White","Relativity",777209,50,1823,426,7508393,5,2015-02-03
"159","Project Almanac","Paramount Pictures",675377,15,2893,233,9570538,5,2015-02-03
"160","The Loft","Open Road",302475,21,1841,164,3299796,5,2015-02-03
"164","Black or White","Relativity",522812,-33,1823,287,8031205,6,2015-02-04
"165","Project Almanac","Paramount Pictures",440002,-35,2893,152,10010540,6,2015-02-04
"166","The Loft","Open Road",229236,-24,1841,125,3529032,6,2015-02-04
"170","Black or White","Relativity",571479,9,1823,313,8602684,7,2015-02-05
"171","Project Almanac","Paramount Pictures",418100,-5,2893,145,10428640,7,2015-02-05
"172","The Loft","Open Road",224652,-2,1841,122,3753684,7,2015-02-05
"176","The SpongeBob Movie: Sponge…","Paramount Pictures",14905447,NA,3641,4094,14905447,1,2015-02-06
"177","Jupiter Ascending","Warner Bros.",6334002,NA,3885,1630,6334002,1,2015-02-06
"178","Seventh Son","Universal",2287050,NA,2875,795,2287050,1,2015-02-06
"179","Project Almanac","Paramount Pictures",1492865,257,2900,515,11921505,8,2015-02-06
"180","Black or White","Relativity",1280708,124,1823,703,9883392,8,2015-02-06
"181","The Loft","Open Road",435552,94,1841,237,4189236,8,2015-02-06
"182","Old Fashioned","Freestyle Releasing",13757,NA,3,4586,13757,1,2015-02-06
"185","The SpongeBob Movie: Sponge…","Paramount Pictures",24086968,62,3641,6615,38992415,2,2015-02-07
"186","Jupiter Ascending","Warner Bros.",7572740,20,3885,1949,13906742,2,2015-02-07
"187","Seventh Son","Universal",3004340,31,2875,1045,5291390,2,2015-02-07
"188","Project Almanac","Paramount Pictures",2460112,65,2900,848,14381617,9,2015-02-07
"189","Black or White","Relativity",2089389,63,1823,1146,11972781,9,2015-02-07
"190","The Loft","Open Road",648972,49,1841,353,4838208,9,2015-02-07
"191","Old Fashioned","Freestyle Releasing",16501,20,3,5500,30258,2,2015-02-07
"193","The SpongeBob Movie: Sponge…","Paramount Pictures",16372597,-32,3641,4497,55365012,3,2015-02-08
"194","Jupiter Ascending","Warner Bros.",4465630,-41,3885,1149,18372372,3,2015-02-08
"195","Seventh Son","Universal",1926250,-36,2875,670,7217640,3,2015-02-08
"196","Project Almanac","Paramount Pictures",1279695,-48,2900,441,15661312,10,2015-02-08
"197","Black or White","Relativity",1167170,-44,1823,640,13139951,10,2015-02-08
"198","The Loft","Open Road",363424,-44,1841,197,5201632,10,2015-02-08
"200","Old Fashioned","Freestyle Releasing",8707,-47,3,2902,38965,3,2015-02-08
"201","The SpongeBob Movie: Sponge…","Paramount Pictures",2500426,-85,3641,687,57865438,4,2015-02-09
"202","Jupiter Ascending","Warner Bros.",1294062,-71,3885,333,19666434,4,2015-02-09
"203","Seventh Son","Universal",546290,-72,2875,190,7763930,4,2015-02-09
"205","Old Fashioned","Freestyle Releasing",647,-93,3,216,39612,4,2015-02-09
"206","The SpongeBob Movie: Sponge…","Paramount Pictures",2294121,-8,3641,630,60159559,5,2015-02-10
"207","Jupiter Ascending","Warner Bros.",1534356,19,3885,395,21200790,5,2015-02-10
"208","Seventh Son","Universal",659885,21,2875,230,8423815,5,2015-02-10
"209","Old Fashioned","Freestyle Releasing",1023,58,3,341,40635,5,2015-02-10
"211","The SpongeBob Movie: Sponge…","Paramount Pictures",1445450,-37,3641,397,61605009,6,2015-02-11
"212","Jupiter Ascending","Warner Bros.",1017104,-34,3885,262,22217894,6,2015-02-11
"213","Seventh Son","Universal",444765,-33,2875,155,8868580,6,2015-02-11
"215","Old Fashioned","Freestyle Releasing",639,-38,3,213,41274,6,2015-02-11
"216","The SpongeBob Movie: Sponge…","Paramount Pictures",1527552,6,3641,420,63132561,7,2015-02-12
"217","Jupiter Ascending","Warner Bros.",903252,-11,3885,232,23121146,7,2015-02-12
"218","Seventh Son","Universal",401860,-10,2875,140,9270440,7,2015-02-12
"219","Old Fashioned","Freestyle Releasing",1617,153,3,539,42891,7,2015-02-12
"221","Fifty Shades of Grey","Universal",30278840,NA,3646,8305,30278840,1,2015-02-13
"222","Kingsman: The Secret Service","20th Century Fox",10428861,NA,3204,3255,10428861,1,2015-02-13
"223","The SpongeBob Movie: Sponge…","Paramount Pictures",6458103,323,3654,1767,69590664,8,2015-02-13
"224","Jupiter Ascending","Warner Bros.",2001657,122,3181,629,25122803,8,2015-02-13
"225","Seventh Son","Universal",846790,111,2874,295,10117230,8,2015-02-13
"226","Old Fashioned","Freestyle Releasing",217196,13332,224,970,260087,8,2015-02-13
"229","Fifty Shades of Grey","Universal",36752460,21,3646,10080,67031300,2,2015-02-14
"230","Kingsman: The Secret Service","20th Century Fox",15404860,48,3204,4808,25833721,2,2015-02-14
"231","The SpongeBob Movie: Sponge…","Paramount Pictures",14495222,124,3654,3967,84085886,9,2015-02-14
"232","Jupiter Ascending","Warner Bros.",4634214,132,3181,1457,29757017,9,2015-02-14
"233","Seventh Son","Universal",2082485,146,2874,725,12199715,9,2015-02-14
"234","Old Fashioned","Freestyle Releasing",564973,160,224,2522,825060,9,2015-02-14
"235","Fifty Shades of Grey","Universal",18140150,-51,3646,4975,85171450,3,2015-02-15
"236","The SpongeBob Movie: Sponge…","Paramount Pictures",10504048,-28,3654,2875,94589934,10,2015-02-15
"237","Kingsman: The Secret Service","20th Century Fox",10372610,-33,3204,3237,36206331,3,2015-02-15
"238","Jupiter Ascending","Warner Bros.",2618148,-44,3181,823,32375165,10,2015-02-15
"239","Seventh Son","Universal",1222505,-41,2874,425,13422220,10,2015-02-15
"240","Old Fashioned","Freestyle Releasing",215654,-62,224,963,1040714,10,2015-02-15
"241","Fifty Shades of Grey","Universal",7838900,-57,3646,2150,93010350,4,2015-02-16
"242","Kingsman: The Secret Service","20th Century Fox",5555196,-46,3204,1734,41761527,4,2015-02-16
"243","Fifty Shades of Grey","Universal",5487230,-30,3646,1505,98497580,5,2015-02-17
"244","Kingsman: The Secret Service","20th Century Fox",3283012,-41,3204,1025,45044539,5,2015-02-17
"245","Fifty Shades of Grey","Universal",4175440,-24,3646,1145,102673020,6,2015-02-18
"246","Kingsman: The Secret Service","20th Century Fox",2230461,-32,3204,696,47275000,6,2015-02-18
"247","Fifty Shades of Grey","Universal",4229490,1,3646,1160,106902510,7,2015-02-19
"248","Kingsman: The Secret Service","20th Century Fox",2305949,3,3204,720,49580949,7,2015-02-19
"249","Fifty Shades of Grey","Universal",8041025,90,3655,2200,114943535,8,2015-02-20
"250","Kingsman: The Secret Service","20th Century Fox",5309404,130,3266,1626,54890353,8,2015-02-20
"251","The DUFF","CBS Films",4287230,NA,2575,1665,4287230,1,2015-02-20
"252","McFarland, USA","Walt Disney",3633069,NA,2755,1319,3633069,1,2015-02-20
"253","Hot Tub Time Machine 2","Paramount Pictures",2300032,NA,2880,799,2300032,1,2015-02-20
"254","Fifty Shades of Grey","Universal",8991100,12,3655,2460,123934635,9,2015-02-21
"255","Kingsman: The Secret Service","20th Century Fox",7985031,50,3266,2445,62875384,9,2015-02-21
"256","McFarland, USA","Walt Disney",4550899,25,2755,1652,8183968,2,2015-02-21
"257","The DUFF","CBS Films",4256469,-1,2575,1653,8543699,2,2015-02-21
"258","Hot Tub Time Machine 2","Paramount Pictures",2195230,-5,2880,762,4495262,2,2015-02-21
"259","Fifty Shades of Grey","Universal",5226905,-42,3655,1430,129161540,10,2015-02-22
"260","Kingsman: The Secret Service","20th Century Fox",5051588,-37,3266,1547,67926972,10,2015-02-22
"261","McFarland, USA","Walt Disney",2836830,-38,2755,1030,11020798,3,2015-02-22
"262","The DUFF","CBS Films",2265450,-47,2575,880,10809149,3,2015-02-22
"263","Hot Tub Time Machine 2","Paramount Pictures",1468062,-33,2880,510,5963324,3,2015-02-22
"264","McFarland, USA","Walt Disney",719437,-75,2755,261,11740235,4,2015-02-23
"265","Hot Tub Time Machine 2","Paramount Pictures",500602,-66,2880,174,6463926,4,2015-02-23
"266","The DUFF","CBS Films",484711,-79,2575,188,11293860,4,2015-02-23
"267","McFarland, USA","Walt Disney",1044309,45,2755,379,12784544,5,2015-02-24
"268","The DUFF","CBS Films",662138,37,2575,257,11955998,5,2015-02-24
"269","Hot Tub Time Machine 2","Paramount Pictures",594788,19,2880,207,7058714,5,2015-02-24
"270","McFarland, USA","Walt Disney",659319,-37,2755,239,13443863,6,2015-02-25
"271","The DUFF","CBS Films",435400,-34,2575,169,12391398,6,2015-02-25
"272","Hot Tub Time Machine 2","Paramount Pictures",419104,-30,2880,146,7477818,6,2015-02-25
"273","McFarland, USA","Walt Disney",740118,12,2755,269,14183981,7,2015-02-26
"274","The DUFF","CBS Films",511577,17,2575,199,12902975,7,2015-02-26
"275","Hot Tub Time Machine 2","Paramount Pictures",389715,-7,2880,135,7867533,7,2015-02-26
"276","Focus","Warner Bros.",6451899,NA,3323,1942,6451899,1,2015-02-27
"277","The Lazarus Effect","Lionsgate",3786762,NA,2666,1420,3786762,1,2015-02-27
"278","The DUFF","CBS Films",2157877,322,2622,823,15060852,8,2015-02-27
"279","McFarland, USA","Walt Disney",1992903,169,2765,721,16176884,8,2015-02-27
"280","Hot Tub Time Machine 2","Paramount Pictures",693376,78,2901,239,8560909,8,2015-02-27
"281","A La Mala","Lionsgate",429302,NA,384,1118,429302,1,2015-02-27
"282","Maps to the Stars","Focus Features",40848,NA,66,619,40848,1,2015-02-27
"285","Focus","Warner Bros.",7634350,18,3323,2297,14086249,2,2015-02-28
"286","The Lazarus Effect","Lionsgate",4365431,15,2666,1637,8152193,2,2015-02-28
"287","McFarland, USA","Walt Disney",3629615,82,2765,1313,19806499,9,2015-02-28
"288","The DUFF","CBS Films",3221228,49,2622,1229,18282080,9,2015-02-28
"289","Hot Tub Time Machine 2","Paramount Pictures",1067278,54,2901,368,9628187,9,2015-02-28
"290","A La Mala","Lionsgate",528704,23,384,1377,958006,2,2015-02-28
"291","Maps to the Stars","Focus Features",64309,57,66,974,105157,2,2015-02-28
"293","Focus","Warner Bros.",4598888,-40,3323,1384,18685137,3,2015-03-01
