X,movie,total_gross,Critic_Pick,Review_url
1,Black Panther,403613257,1,http://www.nytimes.com/2018/02/06/movies/black-panther-review-movie.html
2,The Avengers,373071647,0,http://www.nytimes.com/2012/05/04/movies/robert-downey-jr-in-the-avengers-directed-by-joss-whedon.html
3,Rogue One: A Star Wars Story,286033442,0,http://www.nytimes.com/2016/12/13/movies/star-wars-rogue-one-review.html
4,Iron Man 3,284946699,0,http://www.nytimes.com/2013/05/03/movies/iron-man-3-with-robert-downey-jr.html
5,Jurassic World: Fallen Kingdom,265699530,0,http://www.nytimes.com/2018/06/20/movies/jurassic-world-fallen-kingdom-review-chris-pratt.html
6,Furious 7,251516400,0,http://www.nytimes.com/2015/04/03/movies/review-in-furious-7-a-franchise-continues-to-roar.html
7,Deadpool,236865054,0,http://www.nytimes.com/2016/02/12/movies/deadpool-movie-review-ryan-reynolds.html
8,The Twilight Saga: New Moon,230947696,0,http://www.nytimes.com/2009/11/20/movies/20twilightnewmoon.html
9,Toy Story 3,226889351,1,http://www.nytimes.com/2010/06/18/movies/18toy.html
10,Suicide Squad,222640741,0,http://www.nytimes.com/2016/08/05/movies/suicide-squad-review-dc-comics.html
11,It,218813729,0,http://www.nytimes.com/2017/09/06/movies/it-review-stephen-king.html
12,Avatar,212711184,1,http://www.nytimes.com/2009/12/18/movies/18avatar.html
13,Iron Man 2,211200876,0,http://www.nytimes.com/2010/05/07/movies/07iron.html
14,Alice in Wonderland,209339432,0,http://www.nytimes.com/2010/03/05/movies/05alice.html
15,Wonder Woman,206343175,1,http://www.nytimes.com/2017/05/31/movies/wonder-woman-review-gal-gadot.html
16,Transformers,186981682,0,http://www.nytimes.com/2007/07/02/movies/02tran.html
17,The Hangover Part II,177870031,0,http://www.nytimes.com/2011/05/26/movies/the-hangover-part-ii-3-men-and-a-monkey-baby.html
18,Guardians of the Galaxy,176515761,0,http://www.nytimes.com/2014/08/01/movies/chris-pratt-stars-in-guardians-of-the-galaxy.html
19,X-Men: The Last Stand,175348409,0,http://www.nytimes.com/2006/05/26/movies/26xmen.html
20,The Passion of the Christ,1.74E+08,0,http://www.nytimes.com/movie/review?res=9A07EFD6143CF936A15751C0A9629C8B63
21,Justice League,171903874,0,http://www.nytimes.com/2017/11/15/movies/justice-league-review-wonder-woman-batman-dc-comics.html
22,Skyfall,149776859,1,http://www.nytimes.com/2012/11/08/movies/skyfall-with-daniel-craig-as-james-bond.html
23,Solo: A Star Wars Story,148989574,0,http://www.nytimes.com/2018/05/15/movies/solo-a-star-wars-story-review.html
24,Inception,142883424,0,http://www.nytimes.com/2010/07/16/movies/16inception.html
25,Hancock,142391181,0,http://www.nytimes.com/2008/07/02/movies/02hanc.html
26,Fast Five,139779285,0,http://www.nytimes.com/2011/04/29/movies/fast-five-with-vin-diesel-review.html
27,Rush Hour 2,133525381,0,http://www.nytimes.com/movie/review?res=9A01E0D9143CF930A3575BC0A9679C8B63
28,Ant-Man and the Wasp,133083084,0,http://www.nytimes.com/2018/07/04/movies/ant-man-and-the-wasp-review-marvel-paul-rudd.html
29,World War Z,123696919,0,http://www.nytimes.com/2013/06/21/movies/world-war-z-stars-brad-pitt-battling-zombies.html
30,Cinderella,122516793,0,http://www.nytimes.com/2015/03/13/movies/review-in-cinderella-disney-polishes-its-glass-slippers.html
31,Gravity,122323175,0,http://www.nytimes.com/2015/05/22/movies/review-sunshine-superman-about-the-high-flying-daredevil-carl-boenish.html
32,Pearl Harbor,118853000,0,http://www.nytimes.com/movie/review?res=9A00E6D7113DF936A15756C0A9679C8B63
33,The Mummy Returns,118035540,0,http://www.nytimes.com/movie/review?res=9F03E2D71238F937A35756C0A9679C8B63
34,Signs,117717838,0,http://www.nytimes.com/movie/review?res=9D05E4DA113BF931A3575BC0A9649C8B63
35,Madagascar: Escape 2 Africa,116905195,0,http://www.nytimes.com/2008/11/07/movies/07mada.html
36,Fast & Furious,116497095,0,http://www.nytimes.com/2009/04/03/movies/03fast.html
37,Mission: Impossible 2,111140363,0,http://www.nytimes.com/movie/review?res=9C04E2DE163DF937A15756C0A9669C8B63
38,Kong: Skull Island,109107436,0,http://www.nytimes.com/2017/03/09/movies/kong-skull-island-review-brie-larson.html
39,Ant-Man,106219861,0,http://www.nytimes.com/2015/07/17/movies/review-ant-man-with-paul-rudd-adds-to-a-superhero-infestation.html
40,Rise of the Planet of the Apes,105208226,0,http://www.nytimes.com/2011/08/05/movies/rise-of-the-planet-of-the-apes-stars-james-franco-review.html
41,Jason Bourne,103111145,0,http://www.nytimes.com/2016/07/29/movies/jason-bourne-matt-damon-review.html
42,Dunkirk,101317350,1,http://www.nytimes.com/2017/07/20/movies/dunkirk-review-christopher-nolan.html
43,Cast Away,100628594,1,http://www.nytimes.com/movie/review?res=9C0CE4D81F39F931A15751C1A9669C8B63
44,The Blind Side,100238841,0,http://www.nytimes.com/2009/11/20/movies/20blindside.html
45,"I, Robot",95123749,0,http://www.nytimes.com/movie/review?res=9A06E6DC143AF935A25754C0A9629C8B63
46,Casino Royale,94053658,0,http://www.nytimes.com/2006/11/17/movies/17roya.html
47,How to Train Your Dragon,92135916,0,http://www.nytimes.com/2010/03/26/movies/26howto.html
48,Transformers: The Last Knight,89978528,0,http://www.nytimes.com/2017/06/20/movies/transformers-the-last-knight-review.html
49,Ready Player One,89702828,0,http://www.nytimes.com/2018/03/28/movies/ready-player-one-review-steven-spielberg.html
50,Prometheus,89370301,0,http://www.nytimes.com/2012/06/08/movies/prometheus-by-ridley-scott-with-noomi-rapace.html
51,Scary Movie,89096449,0,http://www.nytimes.com/movie/review?res=9C02EFDB1F39F934A35754C0A9669C8B63
52,Fifty Shades Darker,88972715,0,http://www.nytimes.com/2017/02/09/movies/review-fifty-shades-darker-dakota-johnson.html
53,Valentine's Day,86927385,0,http://www.nytimes.com/2010/02/12/movies/12valentine.html
54,Jackass 3D,86861041,0,http://www.nytimes.com/2010/10/15/movies/15jackass.html
55,Into the Woods,86557147,1,http://www.nytimes.com/2014/12/25/movies/into-the-woods-disneys-take-on-the-sondheim-lapine-classic.html
56,Django Unchained,86269377,1,http://www.nytimes.com/2012/12/25/movies/quentin-tarantinos-django-unchained-stars-jamie-foxx.html
57,Taken 2,86131979,0,http://www.nytimes.com/2012/10/05/movies/taken-2-directed-by-olivier-megaton.html
58,The Village,85612284,0,http://www.nytimes.com/movie/review?res=9D0DE1D7103DF933A05754C0A9629C8B63
59,The Nun,85114588,0,http://www.nytimes.com/2018/09/05/movies/the-nun-review.html
60,The Vow,84991914,0,http://www.nytimes.com/2012/02/10/movies/the-vow-with-rachel-mcadams-and-channing-tatum.html
61,Catch Me if You Can,82891511,1,http://www.nytimes.com/movie/review?res=9C00E1D7123CF936A15751C1A9649C8B63
62,Angels & Demons,81832529,0,http://www.nytimes.com/2009/05/15/movies/15ange.html
63,Tangled,80108319,1,http://www.nytimes.com/2010/11/24/movies/24tangled.html
64,Click,78436992,0,http://www.nytimes.com/2006/06/23/movies/23clic.html
65,Safe House,77911190,0,http://www.nytimes.com/2012/02/10/movies/safe-house-with-denzel-washington-and-ryan-reynolds.html
66,The Fast and the Furious,77869960,0,http://www.nytimes.com/movie/review?res=9401E2D61630F931A15755C0A9679C8B63
67,Fifty Shades Freed,76499000,0,http://www.nytimes.com/2018/02/08/movies/fifty-shades-freed-review-jamie-dornan-dakota-johnson.html
68,Over the Hedge,76119386,0,http://www.nytimes.com/2006/05/19/movies/19hedg.html
69,The Cat in the Hat,75830805,0,http://www.nytimes.com/movie/review?res=9F02E7DB143BF932A15752C1A9659C8B63
70,Puss in Boots,75527682,0,http://www.nytimes.com/2011/10/28/movies/puss-in-boots-with-antonio-banderas-review.html
71,Mr. Deeds,73613421,0,http://www.nytimes.com/movie/review?res=9C0DE3D7123EF93BA15755C0A9649C8B63
72,Magic Mike,72829107,1,http://www.nytimes.com/2012/06/29/movies/magic-mike-by-steven-soderbergh-with-channing-tatum.html
73,District 9,72804317,1,http://www.nytimes.com/2009/08/14/movies/14district.html
74,Noah,72386905,0,http://www.nytimes.com/2014/03/28/movies/russell-crowe-confronts-lifes-nasty-weather-in-noah.html
75,Ocean's Eleven,72310000,1,http://www.nytimes.com/movie/review?res=9F03E5D8123CF934A35751C1A9679C8B63
76,Bee Movie,71779597,0,http://www.nytimes.com/2007/11/02/movies/02bee.html
77,Sully,70194368,1,http://www.nytimes.com/2016/09/09/movies/sully-review.html
78,Wonder,69807297,1,http://www.nytimes.com/2017/11/16/movies/wonder-review-jacob-tremblay-julia-roberts-owen-wilson.html
79,Kung Fu Panda 3,69293138,0,http://www.nytimes.com/2016/01/29/movies/bryan-cranston-jack-black-kung-fu-panda-3-review.html
80,Spy Kids 3-D: Game Over,68505515,0,http://www.nytimes.com/movie/review?res=9F02E1DD123FF936A15754C0A9659C8B63
81,The Angry Birds Movie,66422800,0,http://www.nytimes.com/2016/05/20/movies/-the-angry-birds-movie-review.html
82,Rampage,65694360,0,http://www.nytimes.com/2018/04/11/movies/rampage-review-dwayne-johnson.html
83,Paranormal Activity 2,65665972,0,http://www.nytimes.com/2010/10/23/movies/23para.html
84,Epic,65377491,0,http://www.nytimes.com/2013/05/24/movies/epic-directed-by-chris-wedge.html
85,The Expendables,65357117,0,http://www.nytimes.com/2010/08/13/movies/13expendables.html
86,Sweet Home Alabama,65334029,0,http://www.nytimes.com/movie/review?res=9E0DE6D71139F934A1575AC0A9649C8B63
87,Girls Trip,65085525,0,http://www.nytimes.com/2017/07/19/movies/girls-trip-review-dargis-queen-latifah-regina-hall-tiffany-haddish-jada-pinkett-smith.html
88,Madea Goes To Jail,64525548,0,http://www.nytimes.com/2009/02/21/movies/21made.html
89,The Good Dinosaur,63826024,1,http://www.nytimes.com/2015/11/25/movies/review-the-good-dinosaur-pixar-human-and-apatosaurus.html
