X,movie,Critic_Pick,Review_url,negative,positive,sentiment
1,Black Panther,1,http://www.nytimes.com/2018/02/06/movies/black-panther-review-movie.html,40,43,positive
2,The Avengers,0,http://www.nytimes.com/2012/05/04/movies/robert-downey-jr-in-the-avengers-directed-by-joss-whedon.html,46,37,negative
3,Rogue One: A Star Wars Story,0,http://www.nytimes.com/2016/12/13/movies/star-wars-rogue-one-review.html,32,25,negative
4,Iron Man 3,0,http://www.nytimes.com/2013/05/03/movies/iron-man-3-with-robert-downey-jr.html,53,23,negative
5,Jurassic World: Fallen Kingdom,0,http://www.nytimes.com/2018/06/20/movies/jurassic-world-fallen-kingdom-review-chris-pratt.html,35,18,negative
6,Furious 7,0,http://www.nytimes.com/2015/04/03/movies/review-in-furious-7-a-franchise-continues-to-roar.html,36,29,positive
7,Deadpool,0,http://www.nytimes.com/2016/02/12/movies/deadpool-movie-review-ryan-reynolds.html,26,26,positive
8,The Twilight Saga: New Moon,0,http://www.nytimes.com/2009/11/20/movies/20twilightnewmoon.html,36,28,negative
9,Toy Story 3,1,http://www.nytimes.com/2010/06/18/movies/18toy.html,35,48,positive
10,Suicide Squad,0,http://www.nytimes.com/2016/08/05/movies/suicide-squad-review-dc-comics.html,62,30,negative
11,It,0,http://www.nytimes.com/2017/09/06/movies/it-review-stephen-king.html,34,21,negative
12,Avatar,1,http://www.nytimes.com/2009/12/18/movies/18avatar.html,43,53,positive
13,Iron Man 2,0,http://www.nytimes.com/2010/05/07/movies/07iron.html,55,36,negative
14,Alice in Wonderland,0,http://www.nytimes.com/2010/03/05/movies/05alice.html,45,25,negative
15,Wonder Woman,1,http://www.nytimes.com/2017/05/31/movies/wonder-woman-review-gal-gadot.html,42,46,positive
16,Transformers,0,http://www.nytimes.com/2007/07/02/movies/02tran.html,36,26,negative
17,The Hangover Part II,0,http://www.nytimes.com/2011/05/26/movies/the-hangover-part-ii-3-men-and-a-monkey-baby.html,22,13,negative
18,Guardians of the Galaxy,0,http://www.nytimes.com/2014/08/01/movies/chris-pratt-stars-in-guardians-of-the-galaxy.html,44,45,positive
19,X-Men: The Last Stand,0,http://www.nytimes.com/2006/05/26/movies/26xmen.html,18,16,negative
20,The Passion of the Christ,0,http://www.nytimes.com/movie/review?res=9A07EFD6143CF936A15751C0A9629C8B63,85,45,negative
21,Justice League,0,http://www.nytimes.com/2017/11/15/movies/justice-league-review-wonder-woman-batman-dc-comics.html,40,31,negative
22,Skyfall,1,http://www.nytimes.com/2012/11/08/movies/skyfall-with-daniel-craig-as-james-bond.html,26,39,positive
23,Solo: A Star Wars Story,0,http://www.nytimes.com/2018/05/15/movies/solo-a-star-wars-story-review.html,33,18,negative
24,Inception,0,http://www.nytimes.com/2010/07/16/movies/16inception.html,44,38,negative
25,Hancock,0,http://www.nytimes.com/2008/07/02/movies/02hanc.html,50,28,negative
26,Fast Five,0,http://www.nytimes.com/2011/04/29/movies/fast-five-with-vin-diesel-review.html,33,32,negative
27,Rush Hour 2,0,http://www.nytimes.com/movie/review?res=9A01E0D9143CF930A3575BC0A9679C8B63,37,20,negative
28,Ant-Man and the Wasp,0,http://www.nytimes.com/2018/07/04/movies/ant-man-and-the-wasp-review-marvel-paul-rudd.html,19,35,positive
29,World War Z,0,http://www.nytimes.com/2013/06/21/movies/world-war-z-stars-brad-pitt-battling-zombies.html,43,30,negative
30,Cinderella,0,http://www.nytimes.com/2015/03/13/movies/review-in-cinderella-disney-polishes-its-glass-slippers.html,31,35,positive
31,Gravity,0,http://www.nytimes.com/2015/05/22/movies/review-sunshine-superman-about-the-high-flying-daredevil-carl-boenish.html,13,3,negative
32,Pearl Harbor,0,http://www.nytimes.com/movie/review?res=9A00E6D7113DF936A15756C0A9679C8B63,77,52,negative
33,The Mummy Returns,0,http://www.nytimes.com/movie/review?res=9F03E2D71238F937A35756C0A9679C8B63,38,24,negative
34,Signs,0,http://www.nytimes.com/movie/review?res=9D05E4DA113BF931A3575BC0A9649C8B63,47,24,negative
35,Madagascar: Escape 2 Africa,0,http://www.nytimes.com/2008/11/07/movies/07mada.html,19,17,negative
36,Fast & Furious,0,http://www.nytimes.com/2009/04/03/movies/03fast.html,13,14,positive
37,Mission: Impossible 2,0,http://www.nytimes.com/movie/review?res=9C04E2DE163DF937A15756C0A9669C8B63,43,45,positive
38,Kong: Skull Island,0,http://www.nytimes.com/2017/03/09/movies/kong-skull-island-review-brie-larson.html,36,28,negative
39,Ant-Man,0,http://www.nytimes.com/2015/07/17/movies/review-ant-man-with-paul-rudd-adds-to-a-superhero-infestation.html,34,34,neutral
40,Rise of the Planet of the Apes,0,http://www.nytimes.com/2011/08/05/movies/rise-of-the-planet-of-the-apes-stars-james-franco-review.html,42,41,negative
41,Jason Bourne,0,http://www.nytimes.com/2016/07/29/movies/jason-bourne-matt-damon-review.html,36,25,negative
42,Dunkirk,1,http://www.nytimes.com/2017/07/20/movies/dunkirk-review-christopher-nolan.html,58,25,negative
43,Cast Away,1,http://www.nytimes.com/movie/review?res=9C0CE4D81F39F931A15751C1A9669C8B63,69,42,negative
44,The Blind Side,0,http://www.nytimes.com/2009/11/20/movies/20blindside.html,42,35,negative
45,"I, Robot",0,http://www.nytimes.com/movie/review?res=9A06E6DC143AF935A25754C0A9629C8B63,48,33,negative
46,Casino Royale,0,http://www.nytimes.com/2006/11/17/movies/17roya.html,45,31,negative
47,How to Train Your Dragon,0,http://www.nytimes.com/2010/03/26/movies/26howto.html,31,30,negative
48,Transformers: The Last Knight,0,http://www.nytimes.com/2017/06/20/movies/transformers-the-last-knight-review.html,18,14,negative
49,Ready Player One,0,http://www.nytimes.com/2018/03/28/movies/ready-player-one-review-steven-spielberg.html,37,53,positive
50,Prometheus,0,http://www.nytimes.com/2012/06/08/movies/prometheus-by-ridley-scott-with-noomi-rapace.html,39,30,negative
51,Scary Movie,0,http://www.nytimes.com/movie/review?res=9C02EFDB1F39F934A35754C0A9669C8B63,43,8,negative
